source,target
"Techo York has been found to Tai Tune Rich, and they are enemies and killed him",ទង្វើនោះត្រូវតេជោយ៉តរកឃើញថាម៉ឺនចៃចុងរ៉ាក់នេះឯងជាខ្មាំងក្រោយខ្នងហើយក៏ចាប់យកទៅសម្លាប់ទៅ
After hearing that the dead brother died to the king to bring Techo York sentenced to death,ក្រោយពីបានទទួលដំណឹងថាប្អូនប្រុសស្លាប់ អ្នកម្នានូបានទូលថ្វាយព្រះរាជាអោយចាប់ តេជោយ៉តមកបានកាត់ទោសប្រហារជីវិត
Because the king insisted the king forced Techo York to meet with the,ដោយសារអ្នកម្នាងទទូចខ្លាំងពេក ព្រះរាជាបានបង្ខំអោយតេជោយ៉ត មកជួបតទល់ជាមួយនឹងអ្នកម្នាងនូ
Techo York announces that the officers will be suppressed to recover from himself,តេជោយ៉ត ប្រកាសជម្រាបមន្រ្តីទាំងនោះថា ចាំបង្រ្កាបសត្រូវរួច នឹងចូលមកទទួលទោសពីព្រះអង្គដោយខ្លួនឯង
"The king did not visit, order the officials to release and control the provinces of Kampong Svay",ព្រះរាជាមិនឱ្យចូលជួប​ រួចបញ្ជាអោយមន្រ្តី ដោះលែង និងឱ្យទៅត្រួតត្រាការឯខេត្តកំពង់ស្វាយ
"At that time, the leisure understood Techo York's actions and agreed to marry Techo York",គ្រានោះជំទាវស្រែនយល់ន័យទង្វើរបស់តេជោយ៉ត​ ហើយក៏ព្រមព្រៀងរៀបការជាមួយ តេជោយ៉តនាពេលនោះទៅ
[Group categories: History story,[[ចំណាត់ថ្នាក់ក្រុម:រឿងប្រវត្តិសាស្រ្តខ្
The central part of the activity stirred sea stirring milk by Asho and an angel of his army as an arbitrator,ផ្នែកកណ្តាល បង្ហាញពសកម្មភាពកូរសមុទ្រទឹកដោះដោយពូកអាសូនិងទេវតាដែលមានព្រះនារាយណ៍ជាអាជ្ញាកណ្តាល
The top of the feet from the bottom indicates many types of water species of water,ពួកអាសូរដែលឈរនៅផ្នែក ខាងក្រោមបង្ហាញពី ពពួកសត្វទឹកជាច្រើនប្រភេទដែលមានរូបរាងប្លែកៗ
Some fish are very strange and never found in nature,ក្នុងនោះ ត្រីខ្លះមានរូបរាងចម្លែកណាស់ ហើយមិនដែលប្រទះឃើញក្នុងធម្មជាតិទៀតផង
"Lastly, is water in deity, the study of the studies for life no longer death",ចុងក្រោយបង្អស់គឺទឹកអម្រឹតដែលជាទឹកមន្តពិសិដ្ឌសម្រាប់ធ្វើអោយជីវិតលែងស្លាប់
"Besides the Temple of Filty Castle, fish, also appear on the walls of other temples",ក្រៅពីប្រាសាទអង្គវត្ត ចម្លាក់ត្រីក៍មានបង្ហាញនៅលើជញ្ជាំងប្រាសាទដទៃដែរ
Bonda temple built in the Kingdom of Jayavarman (7) at about the rest of the people my myth and biogas.,ប្រាសាទបាយ័ន្ត ដែលសង់ក្នុងរាជ្យព្រះបាទជ័យវរ្ម័ន (ទី៧)នៅអំពីរឿងរ៉ាវប្រវត្តិសាស្រ្តទេវកថានិងជីវកថាប្រចាំថ្ងៃរបស់ប្រជាជន
"The sculpture at the South West, the East wake of the temple shows the use of fishing equipment such as a cactor and net",ចម្លាក់នៅរោងទងខាងត្បូង ស្លាបខាងកើតនៃប្រាសាទនេះបង្ហាញអំពីការប្រើប្រាស់ឧបករណ៍នេសាទដូចជាធ្មុកដៃ និងសំណាញ់
"In addition, sculptures appear to show their daily benefits in the daily life of the people of Angkor period",លើសពីនេះ ចម្លាក់ហាក់ដូចជា បង្ហាញពីផល់ប្រយោជន៍ត្រីក្នុងជីវភាពប្រចាំថ្ងៃរបស់ប្រជាជននាសម័យអង្គរ
"Also, these sculptures look like fish are swimming in natural water",ម្យ៉ាងទៀត ចម្លាក់ទាំងនេះមើលទៅហាក់ ដូចជាត្រីកំពុងហែលក្នុងទឹកតាមបែបធម្មជាតិ
"Through Chey Chan's degree (1973), we can recognize some of the names of the fish that carved on the walls of Bayon",តាមរយៈសារណាបញ្ចាប់បរិញ្ញាប័ត្ររបស់ លោក ជ័យ ឈន (១៩៧៣) យើងអាច ស្គាល់ ឈ្មោះត្រី ខ្លះដែល ឆ្លាក់នៅលើជញ្ជាំង ប្រាសាទបាយ័ន្ត
"There were fish, fish, fish floating, fish, fish, and fish",ក្នុងនោះមានត្រីគលរាំង ត្រីអណ្តែង ត្រីព្រួល ត្រីក្អែក ត្រីគ្រំ ត្រីឆ្ពិន
But he did not explain the techniques that he analyzed for this type of fish species,ប៉ុន្តែគាត់មិនបានពន្យល់ប្រាប់អំពីបច្ចេកទេសដែលគាត់វិភាគរក ប្រភេទពូជត្រីទាំអស់នេះទេ
This number we count towards only visible fish,ចំនូននេះយើងរាប់ចំពោះត្រីដែលអាចមើលឃើញច្បាស់ប៉ុណ្ណោះ
Non-carvings are not only carved to both of the above temples,ចម្លាក់មច្ឆជាតិមិនត្រឹមតែឆ្លាក់ទៅលើប្រាសាទទាំងពីរខាងលើទេ
But here we would like to pick the fish sculptures at Angkor Wat and Bayon Temple.,តែនៅទីនេះយើងសូមលើកយកតែចម្លាក់ត្រីនៅប្រាសាទអង្គរវត្តនិងបាយ័នមកសិក្សាតែប៉ុណ្ណោះ
The sculpture in the temple of the temple reveals a great fish,ចម្លាក់នៅប្រាសាទអង្គវត្តមាន បង្ហាញអំបូរត្រីមានស្រកាច្រើន
It is considered to be about 78% of the species of fish,គេចាត់ទុកថាប្រភេទត្រីមានស្រកានេះប្រហែល ៧៨%នៃប្រភេទត្រីទាំងអស់
"Out of the 7% of the fish, 4% of fish and fish were 4%.",ក្រៅពីនោះ អំបូរត្រីស្លាតមាន៧%អំបូរត្រីរាស់មាន៤%និងអំបូរត្រីផ្ទូងមាន៤.៦
The central part of the activity stirred sea stirring milk by Asho and an angel of his army as an arbitrator,ផ្នែកកណ្តាល បង្ហាញពសកម្មភាពកូរសមុទ្រទឹកដោះដោយពូកអាសូនិងទេវតាដែលមានព្រះនារាយណ៍ជាអាជ្ញាកណ្តាល
The top of the feet from the bottom indicates many types of water species of water,ពួកអាសូរដែលឈរនៅផ្នែក ខាងក្រោមបង្ហាញពី ពពួកសត្វទឹកជាច្រើនប្រភេទដែលមានរូបរាងប្លែកៗ
Some fish are very strange and never found in nature,ក្នុងនោះ ត្រីខ្លះមានរូបរាងចម្លែកណាស់ ហើយមិនដែលប្រទះឃើញក្នុងធម្មជាតិទៀតផង
"Lastly, is water in deity, the study of the studies for life no longer death",ចុងក្រោយបង្អស់គឺទឹកអម្រឹតដែលជាទឹកមន្តពិសិដ្ឌសម្រាប់ធ្វើអោយជីវិតលែងស្លាប់
"Besides the Temple of Filty Castle, fish, also appear on the walls of other temples",ក្រៅពីប្រាសាទអង្គវត្ត ចម្លាក់ត្រីក៍មានបង្ហាញនៅលើជញ្ជាំងប្រាសាទដទៃដែរ
Bonda temple built in the Kingdom of Jayavarman (7) at about the rest of the people my myth and biogas.,ប្រាសាទបាយ័ន្ត ដែលសង់ក្នុងរាជ្យព្រះបាទជ័យវរ្ម័ន (ទី៧)នៅអំពីរឿងរ៉ាវប្រវត្តិសាស្រ្តទេវកថានិងជីវកថាប្រចាំថ្ងៃរបស់ប្រជាជន
"The sculpture at the South West, the East wake of the temple shows the use of fishing equipment such as a cactor and net",ចម្លាក់នៅរោងទងខាងត្បូង ស្លាបខាងកើតនៃប្រាសាទនេះបង្ហាញអំពីការប្រើប្រាស់ឧបករណ៍នេសាទដូចជាធ្មុកដៃ និងសំណាញ់
"In addition, sculptures appear to show their daily benefits in the daily life of the people of Angkor period",លើសពីនេះ ចម្លាក់ហាក់ដូចជា បង្ហាញពីផល់ប្រយោជន៍ត្រីក្នុងជីវភាពប្រចាំថ្ងៃរបស់ប្រជាជននាសម័យអង្គរ
"Also, these sculptures look like fish are swimming in natural water",ម្យ៉ាងទៀត ចម្លាក់ទាំងនេះមើលទៅហាក់ ដូចជាត្រីកំពុងហែលក្នុងទឹកតាមបែបធម្មជាតិ
This number we count towards only visible fish,ចំនូននេះយើងរាប់ចំពោះត្រីដែលអាចមើលឃើញច្បាស់ប៉ុណ្ណោះ
Non-carvings are not only carved to both of the above temples,ចម្លាក់មច្ឆជាតិមិនត្រឹមតែឆ្លាក់ទៅលើប្រាសាទទាំងពីរខាងលើទេ
But here we would like to pick the fish sculptures at Angkor Wat and Bayon Temple.,តែនៅទីនេះយើងសូមលើកយកតែចម្លាក់ត្រីនៅប្រាសាទអង្គរវត្តនិងបាយ័នមកសិក្សាតែប៉ុណ្ណោះ
The sculpture in the temple of the temple reveals a great fish,ចម្លាក់នៅប្រាសាទអង្គវត្តមាន បង្ហាញអំបូរត្រីមានស្រកាច្រើន
It is considered to be about 78% of the species of fish,គេចាត់ទុកថាប្រភេទត្រីមានស្រកានេះប្រហែល ៧៨%នៃប្រភេទត្រីទាំងអស់
"Out of the 7% of the fish, 4% of fish and fish were 4%.",ក្រៅពីនោះ អំបូរត្រីស្លាតមាន៧%អំបូរត្រីរាស់មាន៤%និងអំបូរត្រីផ្ទូងមាន៤.៦
"Angkor Wat
Siem Reap Province","អង្គរវត្ត
ខេត្តសៀមរាប"
"But in terms of converting
Let him decide on our ends above this neck, we meet and many obstacles","​​ប៉ុនែ្ត ក្នុងការបងើ្ហញ
អោយឃើងសំរេចបំណាងរបស់យើងខាងលើកនេះ​ យើងត្រូជួបប្រទេះនិង​ ឧបសគ្គជាច្រើន"
"Young Namefe we ​​use to compile the next Khmer medical history
As a prince","​ យ៉ោងមណាមិញសារដែលយើងប្រើបា្រស់សំរាប់ចងក្រងប្រវតិ្តសាស្រ្តខែ្មរសម័យក្រោយអង្គរនេះ ច្រើនតែង
ជារាជពង្យាវការ"
"Like readers, the reader is that the Royal Pyper",ដូចមិត្តអ្នកអានបានជ្រោបស្រាប់ហើយថា រាជពង្យាវការ
Fathers also take the four children to the king of the vocational with each vocational while it was,ឪពុកក៏យកកូនទាំង៤នាក់ទៅថ្វាយស្តេច ក្រាបទូលអំពីវិជ្ជាកូននីមួយៗក្នុងខណៈដែលថ្វាយនោះ
King He receives,ស្តេចទ្រង់ទទួលរក្សាទុក
One day the king experienced a man who was in advance in advance,ថ្ងៃមួយ ស្តេចទ្រង់ពិសោធន៍បុរសម្នាក់ដែលចេះស៊ីជាមុន ឲ្យរៀបភោជនាហារជាច្រើនមុខ
"Then he was eating on the order, and a man of the sea was nail, and the man did not eat;",បុរសនោះក៏បរិភោគតាមព្រះរាជបញ្ជា ដល់ទៅសម្លមួយមុខដែលស្តេចដួសទឹកឆៅមួយក្រចកក្នុងនោះ បុរសនោះមិនបរិភោគ
"The man asked the man, ""How does the grandchildren don't eat this?""",ស្តេចសួរបុរសនោះថា «ហេតុម្តេចបានជាចៅឯងមិនបរិភោគសម្លនេះ ?»
"The man bowed himself, ""The nails of the nails in that I am not guilty.""",បុរសក្រាបទូលថ្វាយថា «សម្លនេះមានទឹកឆៅមួយក្រចកនៅក្នុងនោះបានជាទូលបង្គំជាខ្ញុំមិនទទួលព្រះរាជទាន»
"The King Reconns ""This man is fluent in eating fluently""",ស្តេចនឹកក្នុងព្រះទ័យថា «បុរសនេះចេះវិជ្ជាខាងស៊ីស្ទាត់មែន»
"About that to the king, he experienced the sleeping man to have a place to stay clean, there was a mattile covering floor",អំពីនោះទៅស្តេចទ្រង់ពិសោធន៍បុរសចេះដេកទៀត ទ្រង់ឲ្យរៀបទីកន្លែងយ៉ាងស្អាត មានពូកកម្រាលក្រាលពីលើ
"The king took a hair to the floor on the floor to the mattress to the night, He called the man to sleep",ស្តេចយកសក់មួយសរសៃទៅដាក់ក្រោមកម្រាល លើពូកនោះដល់ពេលយប់ទ្រង់ហៅបុរសនោះឲ្យទៅដេក
Men feed immediately to get up immediately,បុរសប្រះទៅក្រោកឡើងវិញភ្លាម
"The King said, ""How was it sleeping and got up and got up?""",ស្តេចទ្រង់សួរថា «ហេតុម្តេចបានជាដេកហើយក្រោកវិញ?»
"One day a man died in the middle of the field, no scars in the body",ថ្ងៃមួយមានបុរសម្នាក់ស្លាប់នៅកណ្តាលវាល គ្មានភិនភាគស្លាកស្នាមអ្វីនៅរូបកាយនោះសោះ
The man asks the kingdom of authority in the time that investigates that,បុរសនោះ សូមព្រះរាជានុញ្ញាតអំណាចក្នុងវេលាដែលស៊ើបសួរយកការណ៍នោះ
The king also rich blessings,ស្តេចក៏ព្រះរាជទានពរតាមសុំ
"When the fire burned, there was a strong bride",ពេលភ្លើងឆេះពេញកម្លាំងមានស្រីក្រមុំម្នាក់ស្រក់ទឹកភ្នែកច្រោក
The men who are naked to bring him to investigating her crying,បុរសជាអ្នកគយគន់មើលហេតុ ក៏នាំខ្លួននាងនោះ ទៅស៊ើបសួរដំណើរដែលនាងយំនោះ ដោយយោបល់ដ៏ល្អិត
"The man was the lower the roof of the house, saw the king's goddess in on the apart on the apartment in which the brown was lying",បុរសជានាយទើបចាត់ឲ្យទៅមើល លើដំបូលផ្ទះនោះឃើញពស់នាគរាជមួយនៅចំពីលើល្វែងដែលនាងក្រមុំនោះដេក
"King He admit that ""the chief of the judiciary of the judiciary""",ស្តេចក៏ទ្រង់សរសើរថា «បុរសជានាយចេះស្ទាត់ក្នុងការស៊ើបសួរខាងផ្លូវតុលាការមែន»
"One day later, a billionaire died of her millionaire had a good young wife",ថ្ងៃមួយក្រោយមកមានសេដ្ឋីម្នាក់ស្លាប់ សេដ្ឋីនោះមានប្រពន្ធក្មេងល្អ
"She is committed to ""not getting more husbands""",នាងនោះប្តេជ្ញាថា «មិនយកប្តីទៀតទេ»
The news knows the kings to the kings to the king to want to want to want to be the widow's wife,ដំណឹងនោះជ្រាបដល់ស្តេចៗទ្រង់ឱ្យនាហ្មឺនសព្វមន្ត្រីទៅចង់នាងមេម៉ាយជាប្រពន្ធខ្មោចសេដ្ឋីនោះ
All trees to want to,នាហ្មឺនទាំងអស់ទៅចង់មិនបាន
Keep the king to see where the signs He had told,ស្តេចឱ្យនាហ្មឺនទៅពិនិត្យមើលកន្លែងដែលសំគាល់ដែលទ្រង់បានប្រាប់ហើយនោះ
"And he said unto him, Thy men, that shall be the manner of the wife? If you need anything, all Him! """,ស្តេចក៏មានព្រះរាជឱង្ការសួរទៅបុរសនោះថា «ឯងទៅចង់នាងមេម៉ាយជាប្រពន្ធសេដ្ឋីបានឬទេ? បើឯងត្រូវការវត្ថុអ្វីទ្រង់ព្រះរាជទានទាំងអស់»
And the man asks you to remember the night,ហើយបុរសនោះសុំអ្នកចាំសាលាស្នាក់មួយយប់
The man wants to be asleep,ឯបុរសចង់ស្រីក៏សំងំធ្វើជាដេកលក់
The widow was about to return home,នាងមេម៉ាយស្តាប់ធម៌ទេសនាចប់ត្រឡប់មកផ្ទះវិញ
The man wants to women see a good opportunity to put his wife to put the widow of the widow as a widow,បុរសជាអ្នកចង់ស្រីឃើញឱកាសស្ងាត់ល្អ ក៏លួចយកធាតុប្រពន្ធទៅដាក់ប្របធាតុសេដ្ឋីជាប្តីនាងមេម៉ាយ
"And when the morning came up to the man, the widow entered the man, ""Who stealing my wife's element.""",លុះដល់ព្រឹកឡើង នាងមេម៉ាយចូលដល់សាលា បុរសនោះស្រែកយំជាខ្លាំងថា «អ្នកណាលួចយកធាតុប្រពន្ធខ្ញុំទៅបាត់»
"Wonder, he asked the man, ""Why are you crying?""",នាងមេម៉ាយឆ្ងល់ក៏សួរបុរសនោះថា «ហេតុអ្វីក៏អ្នកឯងយំខ្លាំងម៉្លេះ ?»
"The man told the widow, ""Who stole my wife away,"" he said to ""the widow's wife stolen""",បុរសនោះប្រាប់ទៅនាងមេម៉ាយវិញថា «អ្នកណាលួចប្រពន្ធខ្ញុំទៅបាត់» ហើយចោទប្រកាន់ទៅលើនាងមេម៉ាយថា «ខ្មោចប្តីនាងមេម៉ាយលួចប្រពន្ធខ្លួន»
"And the widow was psychied to the man, and his wife had taken his wife, and he had taken him to see him.",នាងមេម៉ាយមានសេចក្តីអន់ចិត្តនឹងបុរសនោះប្រកាន់ដល់ខ្មោចប្តីថា លួចប្រពន្ធខ្លួន ក៏នាំបុរសនោះឱ្យទៅមើល ឃើញនៅជិតគ្នាមែន
"Extract from Khmer Legend Part 1

Khmer story
Khmer Legends","ដក់ស្រង់ពី ប្រជុំរឿងព្រេងខ្មែរភាគទី១

រឿងខ្មែរ
ប្រជុំរឿងព្រេងខ្មែរ"
Wiskers track the first rice cultivation and the earliest of bronze in Southeast Asia by these people,ពួកអ្នកប្រាជ្ញបណ្ឌិតតាមដានការដាំដុះស្រូវដំបូង និងការធ្វើសំរិទ្ធិដំបូងបំផុតនៅតំបន់អាស៊ីអាគ្នេយ៍ដោយមនុស្សទាំងនេះ
[1] Culture and technical skills of these people in the first century AD Depart from the first step,[១] វប្បធ៌មនិងជំនាញបច្ចេកទេសនៃមនុស្សទាំងនេះ នៅសតវត្សទី១នៃគ.ស.ចាកហួសឆ្ងាយពីដំណាក់កាលនៃយុគដំបូង
Recent research has unlocked the discovery of landscape in the Neietal Ery in the Neolithy's Neolithy Session of Cambodia,ការស្រាវជ្រាវថ្មីៗនេះបានដោះសោរនូវរបកគំហើញនៃដីលើក រាងមូលសិប្បនិមិត្ត ដែលចុះកាលកំណត់ដល់សម័យយុគថ្មរំលីង របស់កម្ពុជា
"1 
Khmer people are one of the first people in Southeast Asia","1 
ប្រជាជនខ្មែរ គឺជាក្រុមមនុស្សមួយក្នុងចំណោម អ្នកស្រុកដំបូងបង្អស់នូវអាស៊ីអាគ្នេយ៍"
"First of all, they know the kingdom in one area who prosperous from about the first century until the sixth century",ដំបូងឡើយបង្អស់គេបានស្គាល់នគរនៅតំបន់មួយ ភ្នំដែលបានរុងរឿងរីកចំរើន ពីប្រហែលសតវត្សទីមួយរហូតដល់សតវត្សទី៦
"The kingdom was followed by Chenla, which ruled the huge part of Cambodia, Vietnam, Laos and the modern Thailand",នគរនេះត្រូវបានបន្តដោយចេនឡាដែលបានគ្រប់គ្រងផ្នែកដ៏ធំនៃកម្ពុជា វៀតណាម ឡាវ និងប្រទេសថៃ សម័យទំនើបនេះ
The trade with India began well before 500 BC. (Before the global use of Sanskrrrrac in a language in India),ការដោះដូរពាណិជ្ជកម្មជាមួយឥណ្ឌាបានផ្ដើមបានល្អមុនឆ្នាំ៥០០ម.គ. (មុនការប្រើប្រាស់ជាសាកលនូវសំស្ក្រឹតជាភាសាមួយក្នុងប្រទេសឥណ្ឌា)
"[3] With India trade, India has brought Indoaminization of the Funmon culture and Hindu or Hindu or Hindu",[៣] ដោយមានការដោះដូរពាណិជ្ជកម្មឥណ្ឌា បាននាំមកនូវឥណ្ឌូនីយកម្មនៃវប្បធ៌មភ្វូណន និងសាសនាព្រហ្មញ្ញ រឺ ហិណ្ឌូ
The Social and Society of It is successful that occupied the part of Southeast Asia will leave for a religious Hindu for 900 years,ភ្វូណននិងសង្គមរបស់វាកំពុងតែសម្រេចជោគជ័យ ដែលបានកាន់កាប់ផ្នែកនៃអាស៊ីអាគ្នេយ៍នេះ នឹងបានបន្សល់ទុកហិណ្ឌូជាសាសនាអស់រយៈពេល៩០០ឆ្នាំ
The nature of some culture has continued to last longer,លក្ខណៈនៃវប្បធ៌មខ្លះបាននឹងបន្តកាន់តែយូរអង្វែង
Funan has established an exclusive system and exclusive commercial that has become a model for some local empires,អ្នកភ្វូណនបានបង្កើតឡើងនូវប្រព័ន្ធពាណិជ្ជវិស័យនិយម និងពាណិជ្ជកម្មផ្ដាច់មុខ ដែលបានក្លាយជាគំរូសំរាប់ចក្រភពមួយចំនួនក្នុងតំបន់
"The important event was in 802 BC. Jayavarman 2 The first Khmer king took place in Mount Kulen, the future of Angkor Wat resort",ព្រឹត្តិកាន៍ដ៏សំខាន់វាមាននៅឆ្នាំ៨០២ម.គ. ព្រះបាទជ័យវរ្ម័នទី២ ស្ដេចខ្មែរ ដំបូងបានឡើងលើភ្នំគូលែន អនាគតរមណីយដ្ឋានអង្គរវត្ត
Jayavarman VII gained power and territory by warfasts many times,ព្រះបាទជ័យវរ្ម័នទី៧ទទួលបានអំណាច និងទឹកដីជាបន្តបន្ទាប់ដោយការធ្វើសង្គ្រាមបានជ័យជំនះជាច្រើនដង
"The Khmer conquest was almost unstoppable, then Khmer offensive Cambodian championships in the powerful shepherace",ការធ្វើសញ្ជ័យរបស់ខ្មែរស្ទើរតែមិនឈប់ឈរ ពេលនោះខ្មែរបានធ្វើការវាយលុកទីក្រុងកំនើតពួកចាម នៅតាមមាត់សមុទ្រដ៏មានអំណាច
"However, territorial expansion stopped after failing by Vietnamese",ក៏ប៉ុន្តែ ការពង្រីកទឹកដីបានបញ្ឈប់ បន្ទាប់ពីបរាជ័យដោយសារដាយវៀត
The battle also revealed Suryavarman II's entry,សមរភូមិប្រយុទ្ធ ក៏បានបង្ហាញអំពីការចូលទីវង្គត់របស់ព្រះបាទសូរ្យវរ្ម័នទី២ដែរ
"Following Jayavarman VII, Cambodia was going to gradually grow her head",បន្តបន្ទាប់ពីការចូលទីវង្គត់របស់ព្រះបាទជ័យវរ្ម័នទី៧ ខ្មែរបានឆ្លងកាត់ការដាំក្បាលចុះបន្តិចម្ដងៗ
"Angkor king continued until 1431 at the time, the Thais occupied Angkor Thom and the King of Cambodia fled south of the country",ស្ដេចអង្គរ បាននៅបន្តរហូតដល់ឆ្នាំ១៤៣១ នៅពេលនោះពួកថៃបានកាន់កាប់បានអង្គរធំ និងស្ដេចកម្ពុជាបានភៀសព្រះកាយទៅភាគខាងត្បូងនៃប្រទេស
"In Cambodia
15th to 19th centuries, one of the era of decline continued and loss of territories","យុគអន្ធកាលនៃកម្ពុជា
សតវត្សទី១៥ដល់ទី១៩គឺជាសម័យកាលមួយនៃការធ្លាក់ចុះបានបន្ត និងការបាត់បង់ទឹកដី"
"This is a period of time, when the Adventor of Spanish and Portuguese adventurers visited the country for the first time",នេះគឺជាសម័យកាលមួយ ដែលនៅពេលនោះពួកអ្នកផ្សងព្រេងនិសាសនទូតអេស្ប៉ាញ និងប៉ទុយហ្កាល់ បានមកទស្សនាប្រទេសនេះលើកដំបូង
But the conquest of new capital in Thailand in 1594 has shown the decline in the fate of the country and Cambodia,ក៏ប៉ុន្តែការសញ្ជ័យយករាជធានីថ្មី នៅលង្វែក របស់ថៃនៅឆ្នាំ១៥៩៤បានបង្ហាញដំណាក់កាលធ្លាក់ចុះ នូវជោគវាសនារបស់ប្រទេសនិងកម្ពុជា
"By becoming a pawn in the power to challenge the power between the two more powerful neighbors, Siam and Vietnam",ដោយក្លាយជាកូនអុកមួយក្នុងការតស៊ូប្រជែងអំណាចរវាងអ្នកជិតខាង ដែលកាន់តែប្រកបដោយឥទ្ធិពលទាំងពីរ គឺសៀមនិងយួន
Cambodia under the protection of the Siamese,កម្ពុជានៅក្រោមអាណាព្យាបាលសៀម
The Vietnamese settlement on the Mekong Delta led to the region in the end of the 17th century Vietnam belonged to Vietnamese,ការតាំងទីលំនៅរបស់យួននៅលើតំបន់ដីសណ្ដទន្លេមេគង្គ  បាននាំឲមានការបញ្ចូលតំបន់នេះនៅចុងសតវត្សទី១៧ជារបស់យួន
Vietnam used a strategy similar to the North American pilgrims and colonists: settled and claimed,យួនបានប្រើយុទ្ធសាស្ត្រមួយស្រដៀងទៅនឹងពួកធម្មយាត្រា និងពួកនិគមជនអាមេរិកខាងជើង៖តាំងលំនៅហើយក៏បានអះអាងខ្លួន
Foreign encroachment continued until the first half of the 19th century,ការរំលោភទន្ទ្រានរបស់បរទេសបានបន្ត រហូតដល់ពាក់កណ្ដាលទីមួយនៃសតវត្សទី១៩
"Later, Chenlah later received the rank of heroes to the second half of the 8th century",​ ​ក្រោយមក​ចេ​ន​ឡា​ក៏​បាន​ទទួល​ឋានៈ​ជា​រដ្ឋ​ ​អ​ធិ​តេ​យ្យរ​ហូត​ដល់​ពាក់កណ្តាល​ទី​២​នៃ​សតវត្ស​ទី​៨​
"In the 8th century Chenlah was in the dark era, there was no political era with internal divisions",​ ​នៅ​សតវត្ស​ទី​៨​ ​ចេ​ន​ឡា​ស្ថិត​ក្នុង​សម័យកាល​ខ្មៅ​ងងឹត​ ​គ្មាន​ស្ថេ​រ​ភាព​ ​នយោបាយ​ដោយ​ការ​បែកបាក់​ផ្ទៃក្នុង​
This is why Java dies to relax to the internal work of the nation,​ ​នេះ​ជា​មូលហេតុ​ដែល​នាំ​អោយ​ជ្វា​ហ៊ាន​លូកដៃ​មក​កកូរ​កិច្ចការ​ផ្ទៃក្នុង​របស់​ ​ប្រទេស​ជាតិ​
"Angkor Social Society 
From 802 to the year 944 was a stage of national rebuilding","ស្ថានភាព​សង្គម​សម័យ​អង្គរ​ ​កែប្រែ 
ពី​ឆ្នាំ​ ​៨០២ ដល់​ឆ្នាំ​ ​៩៤៤ជាដំណាក់កាលនៃការកសាងជាតិឡើងវិញ"
He has been in the first time to be moved to Angkor to be born to Angkor before and reigned for longer than the previous (802-850),​ ​ទ្រង់​បាន​រៀបចំ​សន្តិ​វង្ស​អង្គរ​មុន​គេ​បង្អស់​ព្រមទាំង​បាន​គ្រងរាជ្យ​យូរ​ជាង​ក្សត្រ​មុនៗ​ទៀត​ផង​ (៨០២-៨៥០)
"From 944 to 1177, the prosperous and prosperous and prosperous and prosperous",​ ពី​ឆ្នាំ​ ​៩៤៤ ដល់​ ​១១៧៧ ជា​ដំណាក់​រុងរឿង​និង​រីក​ចម្រើន​របស់​ចក្រភព​អង្គរ​
"The east of the capital is in Srey Srey, ruled by God, Srey Srey Srey",អាណាចក្រ​ខាងកើត​ ​មាន​រាជធានី​នៅ​ស្រី​ស​ឈរ​គ្រប់គ្រង​ដោយ​ព្រះ​បាន​ស្រីសុរិយោទ័យ​ ​
The southern kingdom has the capital of the Chaktomuk governed by King Chara,អាណាចក្រ​ខាងត្បូង​ ​មាន​រាជា​ធានី​នៅ​ចតុមុខ​គ្រប់គ្រង​ដោយ​ព្រះបាទ​ធម្ម​រាជា​ ​
"In 1529, the Khmer King goes in Banteay Peace",​ ​នៅ​ក្នុង​ឆ្នាំ​១៥២៩​ ​ព្រះមហាក្សត្រ​ខ្មែរ​យាង​ទៅ​គង់នៅ​ក្នុង​បន្ទាយលង្វែក​
King Homony has restored the nation on all fields,​ ​ព្រះបាទ​អង្គចន្ទរាជា​បាន​ស្តារ​ប្រទេស​ជាតិ​ឡើង​វិញ​លើ​គ្រប់​ ​វិស័យ​
"In the military, the Khmer military was attacked in Siamore to Ayutthaya",​ ​ក្នុង​វិស័យ​យោធា​កងទ័ព​ខ្មែរ​បាន​ចូល​វាយលុក​នៅ​ប្រទេស​សៀម​រហូត​ដល់​ក្រុង​អយុធ្យា​
Banteay Banteay Break is an opportunity to lead to Siamese expansion on Cambodia,ការ​បែក​បន្ទាយលង្វែក​ជា​ឱកាស​មួយ​ដែល​នាំ​អោយ​សៀម​ពង្រីក​ទ្ធិ​ពល​កាន់តែ​ខ្លាំ​ឡើងៗ​មក​លើ​ ​ប្រទេស​កម្ពុជា​
The failure in Kalks era made Cambodia down the Siamese,​ ​ភាព​បរាជ័យ​ក្នុង​សម័យ​លង្វែក​បាន​ធ្វើ​អោយ​កម្ពុជា​ធ្លាក់​ចំនុះ​សៀម​
"To address this issue, the French agreed to hand a Battambang and Siem Reap to Siem Reap",​ ​ដើម្បី​ដោះស្រាយ​បញ្ហា​នេះ​បារាំង​បាន​យល់ព្រម​ប្រគល់​ខេត្តបាត់ដំបង​ ​និង​សៀមរាប​ទៅ​ ​អោយ​សៀម​
"Until 1867, Gally recognizes French domestic rights on Cambodia",​ ​រហូត​ដល់​ ​១៨៦៧ ទើប​សៀម​ទទួលស្គាល់​សិទ្ធិ​ត្រួតត្រា​របស់​បារាំង​លើ​កម្ពុជា​
